r (nm);f(r)
5.18;3.28E-04
5.19;3.03E-04
5.2;2.54E-04
5.21;3.17E-04
5.22;2.89E-04
5.23;3.07E-04
5.24;2.70E-04
5.25;2.65E-04
5.26;2.85E-04
5.27;2.37E-04
5.28;2.68E-04
5.29;2.29E-04
5.3;2.72E-04
5.31;2.31E-04
5.32;2.75E-04
5.33;2.17E-04
5.34;2.41E-04
5.35;2.42E-04
5.36;2.20E-04
5.37;1.77E-04
5.38;2.28E-04
5.39;2.74E-04
5.4;2.09E-04
5.41;1.91E-04
5.42;2.22E-04
5.43;1.93E-04
5.44;1.97E-04
5.45;2.23E-04
5.46;1.81E-04
5.47;1.96E-04
5.48;1.91E-04
5.49;1.97E-04
5.5;1.80E-04
5.51;1.84E-04
5.52;1.53E-04
5.53;1.51E-04
5.54;1.61E-04
5.55;1.69E-04
5.56;1.35E-04
5.57;1.84E-04
5.58;1.64E-04
5.59;1.79E-04
5.6;1.57E-04
5.61;1.57E-04
5.62;1.44E-04
5.63;1.52E-04
5.64;1.54E-04
5.65;1.45E-04
5.66;1.35E-04
5.67;1.80E-04
5.68;1.47E-04
5.69;1.38E-04
5.7;1.17E-04
5.71;1.31E-04
5.72;1.35E-04
5.73;1.02E-04
5.74;1.14E-04
5.75;1.10E-04
5.76;1.18E-04
5.77;1.09E-04
5.78;1.07E-04
5.79;1.05E-04
5.8;1.21E-04
5.81;9.42E-05
5.82;1.17E-04
5.83;1.16E-04
5.84;8.56E-05
5.85;8.95E-05
5.86;9.14E-05
5.87;1.03E-04
5.88;9.51E-05
5.89;7.68E-05
5.9;9.48E-05
5.91;7.85E-05
5.92;9.45E-05
5.93;7.62E-05
5.94;7.61E-05
5.95;5.40E-05
5.96;6.99E-05
5.97;6.97E-05
5.98;6.76E-05
5.99;4.97E-05
